additionalRequirments,benefits,company,education,experience,jobContext,jobResposiblities,jobType,joblocation,salary,source,title,vacancies,workplace
Negotiable|	As Per company Policy,,RR-Imperial Electricals Limited,"Age 20 to 30 years |Only females are allowed to apply|Minimum Height: 5'.4""|Must have good communication skill|Must have computer operating skills|Knowledge of electronic communications|Pleasant personality|Fluency in communications both in English and Bangla",,"Welcome all Clients, visitors and guests into the front office in a professional manner and maintain records related to Front Desk Operation|Keep note and pass them to the proper authority.|Maintain systemic filling of all documents.|Make arrangement so that official documents are received, registered and dispatched properly and ensure that no documents are lying unattended.|Handle incoming and outgoing calls with greetings in a professional way.|Assisting the HR  to prepare reports, documents.|Record all visitors name & address in the register for future reference.|Understand the telephone operator board or PABX switchboard operations|Provide general administration support.|Should have excellent interpersonal/communication skills.|Must be well conversant in phone calls.|Collect all kinds of CV of applicants after any media advertisement and handover to HR Department.|Any other task as and when assigned by the competent authority.",,None,,None,,"Jr. Executive, Front Desk",01,Bachelor degree in any discipline
,,Sanmar Properties Ltd.,"Age 22 to 30 years |Only females are allowed to apply|Candidates should be good looking, smart, sincere, well-mannered and intelligent.|Good interpersonal & communication skill.|Self-motivated, self-organized and responsible.|Must have sound knowledge in computer application (Especially in MS office, MS Excel).|Able and willing to work under pressure.",,"Greet clients, visitors and guests coming to the Office with a warm welcome with friendly and professional etiquette.|Receive inward documents and distribute the documents to respective official promptly|Dispatch outward documents in a timely manner using external service providers as per company policy|Responsible for telephone operation, PABX operation, attending visitors and customers and related support functionaries of the company|Ensure the Front Desk area is properly maintained providing impressive look|Transfer calls and keep note of messages if the intended person the caller is trying to reach is not available and convey the message in a prompt manner.|Maintain watch of staff movements inside and outside the office and Keep record of visitors log book|Ensure an up to date record keeping system is in place to strengthen office security system and support implementation of security management plan|Provide support to organize internal meetings/workshops and manage prior scheduling of occupancy of the conference rooms",,None,Bdjobs.com Online Job Posting.,None,,Front Desk Executive,2,2 to 3 year(s)|The applicants should have experience in the following area(s):|Front Desk Management
Salary Review: Yearly|Festival Bonus: 2,,,,,,HSC,None,Bdjobs.com Online Job Posting.,None,,Bangla Job,08,Age 22 to 30 years |Only males are allowed to apply
,,Gentle Park,1 to 2 year(s),Age 20 to 30 years |Only females are allowed to apply|Looking smart & Sound health.|Dedicated to job responsibilities.|Understanding of Organizational ethics.,"Welcome to all (visitors) and Clients & provides according to visitors queries and requirements.|Answer all incoming phone calls, keep notes and transfer to concern person/ Department if required.|Receive all incoming letters, parcel and send to concern person on time.|Execute daily PABX services.|Maintaining Daily In and Out time.|Other duties as and when assigned by the management.|Working Hour 10 AM To 7 PM 6 days in a week.",,None,,"Daily Tiffin allowance, Leave encasement, Festival Bonus and others as per company policy.",,Executive (Front Desk),01,Graduation
,,Hotel New York ( Residential),,,"Receive guests to the hotel by greeting them |warmly, and attending to their inquiries and also answer inquirers over the phone.|Inform guests of the services and accommodation rates in the hotel, make reservations for guests according to their needs.|Build good relationship and rapport with guests to make them feel comfortable and address any complaints they might have in a very courteous manner to protect the image of the hotel.|Keep clear and comprehensive records of guest room bookings and all billings for accountability and future reference.|Maintain orderliness at the front desk by arranging documents accordingly and keeping the front desk area clean at all times to avoid rowdiness.|Attend to all routes of room bookings, such as online, phone, and in person, to ensure that reservations are not left hanging but attended to promptly to keep the hotel business running|Report issues of maintenance and malfunctioning appliances to the manager for quick repair in order to ensure guests comfort and satisfaction.",,None,,None,,Front Desk Receptionist (Female),Not specific,
,,ECO sourcing limited,"Age at most 35 years |Manage Front Desk / Reception........ attend visitors at the front desk by greeting, welcoming, directing and announcing them appropriately.|Answer questions and address complaints, answer all incoming calls and redirect them as requested or keep messages through PABX system.|Manage Company's general Co-ordination & Administrative Support.|Handle tasks like Appointments, Courier Services & Attendance of the employees.|Maintain managing director's appointment for office staffs and outside guests.|Make outbound calls from company database, search and record different types of information in the database for future use.|Any other duties assigned by the management if and when required basis.|Minimum 2 years experience.",,,,None,,None,,Front Desk Executive cum Office Coordinator,Not specific,At least 2 year(s)
"Age 25 to 40 years |Both males and females are allowed to apply|At least 1-2 year(s) of working experience in any recognized Hospital or Diagnostic Center |The applicants should have experience in the following area(s): |Ability to Work Under Pressure, Advance level of Computer (MS Excel, Customer Service, Phone call with Clients",Festival Bonus: 2,Momtaj Trauma Center,"Bachelor degree in any discipline|Bachelor or Master's degree in any discipline|North South University,BRAC University,Eastern University,Dhaka International University students will get preference|Skills Required: Microsoft Excel, Microsoft Word",1 to 2 year(s)|The applicants should have experience in the following area(s):|Clinical Experience|The applicants should have experience in the following business area(s):|Clinic|Freshers are also encouraged to apply.,,"Medical Receptionist Duties and Responsibilities|Greet patients and other visitors when they arrive|Answer patient questions and provide assistance when necessary|Distribute forms and paperwork to patients and check them over to ensure that required fields are completed properly|Collect co-pays, processing paperwork, and scheduling appointments|Field phone calls and respond to emails|Manage inventory of necessary office supplies and coordinate reordering",Full-time,Dhaka (Mohammadpur),Negotiable,Bdjobs.com Online Job Posting.,Receptionist,2,Work at office
,,OMC Group,3 to 7 year(s)|The applicants should have experience in the following area(s):|Personal Secretary,"Age 25 to 40 years |Both males and females are allowed to apply|Expert in MS Office package (MS Outlook, MS word, MS Excel & PowerPoint presentation).|English language proficiency in writing and speaking.|Should have very good interpersonal skills.|Should be impressive with smart personality.",,"Report to the Chairman and regularly liaison with directors, consultants and Head of the Divisions (HOD) as per requirement.|Responsible for day to day secretarial jobs at Chairman's office and maintain proper confidentiality.|Drafting letter, meeting minutes,correspondence, proposals, speech etc. for Chairman both in Bangla and English as needed.|Set up and maintain files and keep correspondence and reports available for reference.|Prepare correspondence, business reports and presentations as required.|To organize and coordinate meetings, conferences, travel arrangements within and outside the country.|Meeting and greeting visitors at all levels from home and abroad.|Organizing and maintaining diaries and making appointments.|Arranging travel, visa and accommodation and take notes or dictation at meetings or to provide general assistance during presentations.|Communicate related Govt. & Private Agencies and higher officials in the country and business partners abroad.|Screening phone calls, enquirers and requests, and handling them when appropriate.|Manage all confidential files and Document.|Follow-up actions on pending important issues.|Maintaining privacy, secrecy as well as maintain official norms and principles.|Should be flexible for any other tasks assigned by the authority.",Full-time,,"T/A, Mobile bill, Tour allowance, Medical allowance, Provident fund, Gratuity",,Personal Secretary to Chairman,1,Open to all Graduates/ Masters but preference will be given to the BBA/ MBA.
,,SWID Bangladesh,Age 18 to 46 years |Person with Neuro Developmental Disorder (NDD) are encouraged to apply|Woman with disabilities are encouraged to apply,,"Vacancy: Not Specific (Person with Neuro-developmental Disabilities) |Job Location: Dhaka, Sylhet and Chittagong Branches of SWID Bangladesh.|Employment Status: Apprenticeship/Contractual","Handling incoming calls and other communications.|Official file and document listing/sorting, preservation & management with file contents.|Office stock & equipment management.|Photocopy, Printing, Bank Transaction & act of messenger at different office as per company policy.|Capable of writing daily report on outgoing & incoming (document disburse & received) documents, files & letters.|Welcoming visitors to your office & necessary action for Entertainment/Refreshment as per company policy.|Keeping an inventory of office stationary as per order of management with necessary record.|Maintain and ensure the safeguarding, data protection guideline and accessibility issues during the apprenticeship period.","Full-time, Contractual",,None,,Office Associate/ Associate to Front Desk Officer,Not specific,"General Education any Discipline prefer above SSC/HSC, Special Education and Special Education prefer in any Disabled Organization"
,,Group of Companies,3 to 4 year(s),"Age 30 to 35 years |Both males and females are allowed to apply|Skills Required: |Business Communication, Excellent in Microsoft Excel, Professional Email write up, Strong Presentation Skills in Power Point, Data Analytical Ability.|Ability to handle regulatory compliance independently & work under time pressure.|Must be proficient in both Bangla & English Typing.|Knowledge on maintaining google calendar.|Should have cross-functional working skills|Should have working experience of performing all kinds of secretarial works of Managing Director and maintaining a high level of confidentiality/privacy.","Maintain meeting and different appointment schedule, arrange meetings, prepare meeting minutes- and do necessarily follow up.|Assist Managing Director in all kinds of corporate communications crafting and disseminating information internally and externally.|Maintain peer work, prepare invitation letters, internal memos, E-mail and other computer-based activities and ensure dispatch.|Arrange protocol service, visa, air ticket booking & hotel reservation-related activities according to pre-schedule.|Receive visitors and coordinate their transportation and accommodation facilities according to the requirement.|Prepare, disburse, receive & follow-up all official letter(s), report(s) related to the overseas and local concerns as per directions|Notify MD on upcoming events & formulating necessary arrangements.|Preserve all confidential papers, documents and records of the MD's office|Following-up actions on pending important issues.|Arrange and coordinate (including the selection of date, time, and location) internal and external business meetings/conferences.|Receive and screen phone calls and redirect them as per necessity|Any other secretarial tasks are relevant to this role given by MD.",,None,,"Mobile bill, Insurance, Gratuity",,PA to Managing Director,01,MBA or MA in English from any reputed Public/Private University.|Candidates from O Level & A Level background will get preference.
,,,,Festival Bonus: 2,,3 to 7 year(s),None,,None,,Bangla Job,Not specific,
"Negotiable|Minimum 2 years experience as is preferable
Strong communication abilities in English, both oral and written
Must have good knowledge in MS Office and tools
Must be able to work under pressure
Should be energetic, committed, sincere, responsible, & integrated.
",,A reputed  company,"Minimum 2 years experience as is preferable|Strong communication abilities in English, both oral and written|Must have good knowledge in MS Office and tools|Must be able to work under pressure|Should be energetic, committed, sincere, responsible, & integrated.",,"Organize the CEO's business meetings, appointments, taking notes, following up on decisions.|Update all personal and professional calendars with correct schedules and dates for appointments, meetings, events, conferences, etc.|Responsible for researching & identifying new business opportunities - including new markets, growth areas, trends, customers, partnerships. |Disburse meeting minute(s), report(s), etc. to the relevant departments as per instruction.|Developing a time-befitting vision for brands (local & international market). |Analyze the total information and develop new outcomes for the company |Responsible for keeping up with the latest trends and updates of industries. |Develop a growth strategy focusing both on financial gains & customer satisfaction. |To arrange and follow-up necessary arrangements for traveling including visa, ticketing, transportation, and hotel reservation for CEO inside and outside the country.|To organize business meetings/conferences inside and outside the office.|Any other task as assigned by CEO.",,None,,None,,Executive/ Sr. Executive - CEO's Department,02,"At most 2 year(s)|The applicants should have experience in the following area(s):|Business Competitor Analysis, Executive Assistant, Market Research|The applicants should have experience in the following business area(s):|Group of Companies"
Age 21 to 30 years |Only females are allowed to apply,"T/A, Mobile bill, Performance bonus|Salary Review: Yearly|Festival Bonus: 2",Raiyan Travels International,Bachelor degree in any discipline,"3 to 5 year(s)|The applicants should have experience in the following area(s):|Front Desk, Receptionist|The applicants should have experience in the following business area(s):|Travel Agent|Freshers are also encouraged to apply.",,"Maintain Proper Communication With Every Department.|Draft Different Types Of Letter And Documentation As Instructed By Office.|Ensure The Front Office Area Is Properly Maintained, Organized And Prepared In Perfect Manner.|Welcome All Clients, Visitors, And Guests Into The Front Office In A Professional Manner And Maintain Records Related To Front Desk Operation.| To Be Responsible For Receiving Letters, Messages, Documents, And Dispatch Them To Concerned Authority By Keeping Records.|Keeping Update Contact List.|Ensure All Other Systems Are In Place And Well- Functioning, E.G., Management Of Intercom, PABX, Internet, Etc.|Maintain Office Security By Following Safety Procedures And Controlling Access Via The Reception Desk (Monitor Log Book, Issue Visitor Badges Etc.)|Handle All Incoming And Outgoing Calls With Greetings In A Professional Way And Transfer The Calls To The Right Places.|Circulate Information/Instruction Correctly And Properly As And When Required.|Maintain Receive Record And Other Documentation.| Ability To Interpret A Variety Of Instructions Furnished In Written, Oral Or Electronic Form.|Answer Questions And Address Complaints.|Any Other Responsibilities Assigned By The Management.|Employment Status",Full-time,Dhaka (Paltan),None,Bdjobs.com Online Job Posting.,Front Desk Executive,Not specific,Work at office
,,Best Mark Group,2 to 3 year(s),"Age 20 to 30 years |Only females are allowed to apply|Multi Tasking.|Good looking, elegant, well-groomed, and presentable personality.|2-3 years of working experience as a Front Desk Executive in any reputed organization will get extra priority.|Well conversant in English & Bengali.|Should have an attractive appearance, positive approach, good manner, and responsible behavior.|Able to work under pressure & self-motivated.|Attention to details.",,"Building a strong relationship with the Customers/ Guests/ Clients over the Phone and face to face.|Should be able to handle Visitors in a proper and polite manner by greeting, responding to requests.|Promoting the Brand.|Organizing smooth Front Office Operation.|Welcoming Visitors, Guests in a professional manner.|Keep a record of Visitors with Name, Address and Contact Number.|Answering Phones.|Helping Security Management.|Maintaining Employees' Attendance Records including on-time Entry and Signing.|Receiving Parcel, Courier, Bills and distributing to the concerned person.|Understand all the situations and take the pressure of work.|Having mentality to work for a long time.|Keeping a record of Staff movements.|Maintaining strict confidentiality about Customer Information, as required.|To be accountable for Neat, Cleanliness and Beautification.|Performing other Tasks as assigned by the Management.",Full-time,,None,,"Executive, Front Desk/ Reception",01,Master/ Bachelor Degree in any discipline.
,,P2P Family,At least 2 year(s),Only females are allowed to apply,"Act as the first point of contact for guest information| Make sure the performance of the reception department sticks to the guidelines and standards of excellence|Serves visitors by greeting, welcoming, and directing them appropriately.|Notifies company personnel of visitor arrival.|Maintains security and telecommunications system.| Informs visitors by answering or referring inquiries.| Directs visitors by maintaining employee and department directories.|Maintains security by following procedures, monitoring logbook|Operates telecommunication system by following manufacturer's instructions|Keeps a safe and clean reception area by complying with procedures, rules and regulations.| Supports continuity among work teams by documenting and communicating actions, irregularities and continuing needs.| Contributes to team effort by accomplishing related results as needed.|Complete product knowledge training to answer guest question|Trains, cross -trains, and retrains all front office personnel & security guards.|Organize monthly meetings to promote corporate culture and effective teamwork activities|Assist in planning company events, meetings and employee team building activities or special projects as needed|Maintains working relationships and communicates with all departments.",,None,,"Mobile bill, Tour allowance, Medical allowance",,Guest Service Agent,Not specific,Bachelor degree in any discipline
,,,,,,Age 18 to 50 years ,Anywhere in Bangladesh,,None,,Bangla Job,Not specific,
,,,Age 23 to 45 years |Only males are allowed to apply,,,Work at office,None,,None,,Bangla Job,03,At least 3 year(s)|The applicants should have experience in the following area(s):|Car Driving
,,,,,,At least 5 year(s),None,,None,,Bangla Job,Not specific,
,,,,,,At least 5 year(s),None,,None,,Bangla Job,Not specific,
,,,Age 30 to 40 years |Only males are allowed to apply,,,Work at office,None,,None,,Bangla Job,1,At least 10 year(s)
Desirable experience working in MSF or other NGOs|Essential Bengali and Basic English,Medical allowance|Festival Bonus: 2 (Yearly)|Two annual leave days per month worked|Medical insurance for employee and direct dependents|No relocation allowance shall be provided,Medecins Sans Frontieres/ Doctors Without Borders (MSF),Essential literacy and driving license. Good knowledge of country roads,At least 2 year(s)|The applicants should have experience in the following area(s):|Car Driving,"Médecins Sans Frontières (MSF) is an international medical humanitarian organization working in more than 80 countries worldwide. We deliver emergency medical care to people affected by armed conflict, epidemics, healthcare exclusion and natural or manmade disasters. MSF first worked in Bangladesh in 1992. |MSF stands against all forms of discrimination on whatever basis, be it of gender, age, race, nationality, religion, sexual orientation, political opinion, legal status, or any such arbitrary and false distinction.","Checking daily, the technical conditions of the assigned vehicle (state of the tires, oil, fuel, brakes, radio equipment, tools, first aid box, spare parts, etc.), performing weekly check according to the MSF Logbook, refilling it when necessary, and keeping it clean to ensure it can be driven in perfect condition|Carrying out a handover if another person intends to use the vehicle|Ensuring the security of passengers in the vehicle, driving carefully, observing speed limits and traffic rules in the country as well as MSF security rules, in order to avoid car accidents|Ensuring all passengers have all necessary papers in order before traveling, and ensuring non-MSF staff sign disclaimers of responsibility before using the vehicle|Ensuring correct loading and unloading of the vehicle, submitting the documents to the receiver of the goods, checking the status of delivered goods, returning the duly completed documents to Logistics and ensuring that the goods have the necessary documents|Ensuring that all vehicle documents and the driver's driving license are valid and in the vehicle|Informing the line manager of any incident involving the transportation of passengers and/or goods|Knowing how to use all types of radios, codes, call numbers and radio alphabets by heart and communicating with base according to MSF communications policy to inform the driver's position and any potential implications|Knowing and respecting the security rules related to vehicle movements, specifically those related to customs, checkpoints and roadblocks. Ensuring all passengers know and respect the security rules",Full-time,Dhaka (Kamrangirchar),Tk. 35090 (Monthly),Bdjobs.com Online Job Posting.,Driver,1,Work at office
Salary Review: Yearly|Festival Bonus: 2,,,Age at least 28 years |Only males are allowed to apply,,,Work at office,None,Bdjobs.com Online Job Posting.,None,,Bangla Job,02,At least 5 year(s)|The applicants should have experience in the following area(s):|CAR DRIVER
,,The University Campus,"Age 30 to 50 years |Only males are allowed to apply|The candidate should be honest, energetic, active, smart and confident. |Should have experienced in auto car driving, specially SUV Model 2020.|Should have interest in official tasks & duties.|Must be physically fit and sound health to perform any job-duty.",,"Should have experienced in auto car driving, specially SUV Model 2020.|Should have interest in official tasks & duties.|Must be physically fit and sound health to perform any job-duty.",,None,,None,,Car Driver Cum Office Assistant,01,At least 10 year(s)|The applicants should have experience in the following area(s):|Light Driver
,,,Age at most 45 years |Only males are allowed to apply,,,Work at office,None,Bdjobs.com Online Job Posting.,None,,Bangla Job,03,At most 3 year(s)
,,,,,,3 to 5 year(s),None,,None,,Bangla Job,02,
"Medical allowance, Provident fund|Lunch Facilities: Partially Subsidize|Salary Review: Yearly|Festival Bonus: 2",,,,,,Work at office,None,Bdjobs.com Online Job Posting.,None,,Bangla Job,5,Age 23 to 45 years |Only males are allowed to apply
,,DIKU INTERNATIONAL LTD.,2 to 4 year(s)|The applicants should have experience in the following area(s):|Transport Maintenance,Age 22 to 30 years |Only males are allowed to apply|Work experience in Maintenance department in any reputed Transport company will be given preference  |Computer Knowledge(MS Office) and good typing skill in both English and Bengali will be given preference,,"Responsible for Heavy Vehicle inspection, Maintenance, Monitoring, Accidental report, and other official duties, maintain overall Vehicle and servicing schedules.|Check Vehicle problem physically and create job card for Vehicle repair.|Planning and Co-ordinate with Management to repair Vehicle according to priority",Full-time,,Mobile bill,,Officer - Maintenance,02,Diploma in Automobile Engineering
,,,,,,5 to 7 year(s),None,,None,,Bangla Job,04,
,,,,,,At least 6 year(s),None,,None,,Bangla Job,Not specific,
Age 22 to 30 years ,Mobile bill|Lunch Facilities: Partially Subsidize|Salary Review: Half Yearly|Festival Bonus: 2,Visa Think Ltd,Bachelor degree in any discipline|Bachelor degree in any discipline|Skills Required: Good communication skills in English.,3 to 4 year(s),,"The job requires the candidate to fulfill the role of a file Processing, Counseling, and Administrative Support Staff.|Providing information to clients regarding Immigration Process as per country regulations|Preparing applications for their desired foreign countries as per their eligibility and maintaining other formalities with the client to do the needful relation to the application.|Coordinating the Application Team (Admission, GTE Clearance, Payment, Visa Application lodgment)|Work in a team to ensure the best client service.|Regular Report submission to the senior management|Maintaining regular communication with the assigned client group.|Preparing applications for admission into different foreign universities and schools and maintaining other formalities related to admissions with the school and university's international office/ admission office.|Providing information to students and their guardians regarding universities in Australia, Canada, Malaysia, USA, China, India, and UK.|To consult with the students and guardians over the phone about the admission procedure of foreign universities.|Creating and Managing Customers, Maintain visitors Database and regular follow - up to them.|Build a strong relationship with the customers over the phone and face to face|Host Seminars with prospective students regarding our Promotions and services.|Maintain strict confidentiality about customer information, as required.|Prepare necessary documents, fill out forms, and maintain files and records.|Receive and reply to emails, carry out marketing and promotions via online and newspaper advertisements.|Coordination between the Application and Counseling Department","Full-time, Internship",Dhaka (Banani),None,Bdjobs.com Online Job Posting.,Counselor cum File Processing Executive,10,Work at office
,,Bigbdshop,At most 1 year(s)|Freshers are also encouraged to apply.,Age at most 32 years |Only males are allowed to apply,Candidates must have Motor Bike/Bi-Cycle.,Product Delevery In Any Location Of Dhaka.|Time To Time Product Delivery.|Candidates Should Be Honest.,Full-time,,Mobile bill,,Delivery Man,5,HSC
,,Global Immigration Consultants Ltd,"At least 1 year(s)|The applicants should have experience in the following area(s):|Business Development, Computer skill, Document Processing, Effective Communication, Excellent English, Good communication skills, Immigration Consultancy, MICROSOFT OFFICE, Relationship Management, Report Writing|The applicants should have experience in the following business area(s):|Immigration & Education Consultancy Service, Immigration/Visa Processing, Multinational Companies","Age 24 to 32 years |Both males and females are allowed to apply|Good knowledge in written English is required|Experience in Research Related Work is preferred|The candidate must be available for work from any where and at any time, in case of emergency requirement","Assist the respective government registered foreign lawyer in application processing.|Process documents related to immigration visa.|Maintain communication with the respective relationship managers for uniformity of information on all levels.|Communicate with clients and collect their required documents for application abroad.|Set and maintain the received documents sent by clients in right and recommended order.|Maintain the necessary records of clients documents.|Update and maintain daily processing work activities.|Engage in group discussions or team meeting when necessary.|Review and verify if documents sent by clients are in the right order.|Maintain records of clients documentation.|Responsible for verifying the authenticity of paperwork and supporting documents.|Communicate with clients face to face or over phone regarding their application steps.|Update daily processing and submission work activities.|Assist team members in getting the processing and submission job done.|Remain available for work urgencies anytime and anywhere.|Take corrective and preventive measures wherever and whenever needed in client application process.|Oversee the completion of all relevant immigration documents and ensure that they are received within the time limit set by the respective country's government.|Conduct local and global immigration seminars whenever and wherever needed both inside and outside Dhaka.|Participate in video shoots and live sessions, arranged by the marketing wing, whenever necessary.",,None,,"Mobile bill, Provident fund, Performance bonus",,Operations Specialist,01,"Bachelor degree in any discipline|Graduates from other reputed universities are also encouraged to apply.|Graduates from Business Administration department are encouraged to apply|American International University Bangladesh,North South University,BRAC University,East West University,IBA, Dhaka University students will get preference"
,,Amana Group,5 to 7 year(s),"Age 25 to 32 years |Only males are allowed to apply|Minimum 05 years' experience is required for the Diploma in Automobile Engineers.|Sincere, honest and well behaved.|Excellent technical knowledge on vehicle systems & performance.|Computer literacy (MS Word and MS Excel) is must.|Knowledge on traffic rules and function of different parts of a vehicle.|Hardworking and can manage stressful situations.|Having a valid driving license, knowing proper driving, having good knowledge on automobile will be preferred.|The candidate should have experience in dealing with concerned government agencies like BRTA & Police Traffic Department etc.","Responsible for ensuring the overall Transport related functions to implement the strategies within the company.|Preparing & monitor vehicle maintenance and servicing schedules.|Maintaining proper inventory level of all the required parts/components of vehicles.|Monitoring the vehicle tracking system, billing etc.|Supervising the drivers regarding their duties and overall behaviours, attendance.|Maintain appropriate systems for measuring necessary aspects of operational management and development.|Dealing with concerned government agencies like BRTA & Police Traffic Department etc.|Prepared various types of reports as required by management.|Perform other duty as ordered by management.|Vehicle Accident reporting and take initiative to rescue ASAP.|Negotiate with authorised third party vendor if necessity for logistics support.|Analyze expenditures and other financial information in order to develop plans, policies, and budgets for increasing profits and improving all internal-external services.|Manage the costs involved while maintaining quality.|Develop new and existing relationships with suppliers.|Implement new technologies and stay alert to new trends and developments in the sector.",,None,,"T/A, Mobile bill, Tour allowance, Provident fund",,Automobile Engineer,Not specific,"Bachelor degree in any discipline, Diploma in Automobile"
,,,Age 20 to 30 years |Only males are allowed to apply,,,Work at office,None,,None,,Bangla Job,03,At least 5 year(s)
,,The Leprosy Mission International Bangladesh,At least 3 year(s),"At least 3 years' relevant research experience in leading research teams . Familiarity with  GoB health system is preferred. |Proven ability in research protocol development, data collection and analysis, and reporting findings | Proven ability in supervising, monitoring, training and encouraging other researchers. | Excellent written and spoken Bengali and English| Excellent time management skills to ensure work is completed to tight deadlines| Strong multidisciplinary communication skills | Good project management skills including budgeting and financial reporting| Excellent computer literacy skills","The PEP++ is one of TLMI-B`s research project aims to stop the transmission of M. leprae in a previously endemic community, as evidenced by a reduction of the number of new cases of leprosy by 50% in 2024. It  also demonstrates the increased efficacy and acceptability of the enhanced post-exposure prophylaxis regimen (PEP++) compared to SDR-PEP. It will investigate the knowledge, attitudes and beliefs regarding leprosy and persons affected to develop community education and behavior change interventions that will reduce stigma, improve strategies for early case detection and increase acceptance of programme interventions. Currently, it invites applications from the interested and eligible candidates for the following positions: |Position Name: Project Manager-Pep++ (1), Based: Nilphamari (Research field- Rangpur & Nilphamari districts)|Working Terms:| A commitment to TLMI-B vision, mission and work with and for people affected by leprosy, disability and social exclusion. |Good interpersonal skills and a proven ability to work in a team as a willing, inclusive and respectful team player or leader, and comfortable with consensus decision-making.|Able to develop professional relationships of trust and confidence to work effectively in a cross cultural environment.|Ability to empower others, ability to follow through, openness to learning, responsiveness and pro-activeness. |The Leprosy Mission International Bangladesh has a zero-tolerance policy towards any abuse, neglect and exploitation to all people. Successful candidates will be subject to reference and background checks as well as expected to sign and comply with TLMIB`s all organizational policies,  including the TLMIB Safeguarding Code of Conduct and the Safeguarding Children & Vulnerable Adults Policy. |Willingness and ability to travel nationally and internationally, sometimes at short notice.","Start-up of PEP++ programme:|Participate in the international PEP++ Core Team|Set up a project management system with guidance from PEP++ Programme Manager (Netherlands)|Develop country specific project documents in collaboration with the partners and with guidance  from PEP++ Programme Manager|Facilitate the setting up of a national level task force|Coordination and liaising:|Establish an effective coordination mechanism among different stakeholders |Make a contract with the academic partner|Liaise with the academic partner on an ongoing basis|Make partner contracts or MoUs with government and other (ILEP) partners |Liaise with and give guidance to the PEP++ supervisors on an ongoing basis|Organize national meetings (with the taskforce as well as with the partners)|Ensure that state/district level meetings are held|Build and develop a network to help ensure the success of the programme|Attend international PEP++ progress meetings annually|Planning:|Align the country level planning with the international planning cycle for the PEP++ programme|Make annual calendars of operation - Gantt chart|Ensure implementation of the various components of the research project, including side studies|Monitoring and Evaluation:| Use the framework for monitoring, supervision and evaluation at national, district/state and field level|Effectively communicate expectations to the PEP++ Supervisors and partners in a timely and clear  fashion|Ensure good quality data collection and data management as per the requirements of the system  set up by Erasmus MC|Human Resource Management:|Hire project staff in collaboration with the Country Director and in consultation with the PEP++ Programme Manager| Establish and implement a performance management process for the project staff| Organize the trainings needed for the execution of the project|Financial management:|Oversee the PEP++ project financial management| Use the PEP++ financial reporting system as provided by the PEP++ Programme Manager| Develop an annual budget in collaboration with the PEP++ Programme Manager| Submit a financial report bi-annually with a copy to the Country Director and the PEP++ Programme Manager|Recording and Reporting:| Use the recording and reporting system for national and district/state level recording and reporting| Ensure timely reporting by the PEP++ Supervisors| Submit a progress report bi-annually through the Country Director to the PEP++ Programme  Manager| Others:| Collaborate in writing scientific publications| Support information sharing in international fora | Identify and resolve issues and conflicts within the project team in agreement with the Program Leader-RHP and if relevant the PEP++ Programme Manager|Facilitate, mentor, motivate and guide project team members and staff from partner organizations or institutions",Full-time,,None,,Project Manager-Pep++,01,"Should have MBBS degree and Post-graduate research-based qualification in a health-related discipline (e.g. MPH, MSc, MPhil)."
,,,,,,8 to 10 year(s),None,,None,,Bangla Job,Not specific,
,,A reputed trading company,"Minimum 2 years experience as a business analyst is preferable|Strong communication abilities in Bengali and English, both oral and written|Must have good knowledge in MS Office|Must be able to work under pressure|Should be energetic, committed, sincere, responsible, & integrated.",,"Responsible for researching & identifying new business opportunities - including new markets(international), growth areas, trends, customers, partnerships. |Make sure that the daily functions of the research & development are executed in an effective mode of operation. |Conduct qualitative & quantitative experiments taking into into account the volume & structure of ingredients to develop processes and technologies for extraction and enrichment of products & service. |Developing a time-befitting vision for brands (local & international market). |Analyze the total information and develop new outcomes for the company |Responsible for keeping up with the latest trends and updates of trading  industries. |Develop a growth strategy focusing both on financial gains & customer satisfaction. |Update and report about existing as well as upcoming customer's profiles.",,None,,None,,Executive/ Sr. Executive - Business Analyst,05,"At most 2 year(s)|The applicants should have experience in the following area(s):|Business Analyst, Business Development, Business/ Product Development, Market Research|The applicants should have experience in the following business area(s):|Trading or Export/Import, Manufacturing (FMCG)"
